Patient	DataType	DataFile	Aggregation
CD34_mobilized_primary_cells	H3K27ac	/epigenomes/teamdata/test_data/CD34_mobilized_primary_cells/H3K27ac/GSM772870_BI.Mobilized_CD34_Primary_Cells.H3K27ac.RO_01536.wig.gz.bw	sum
hESC-derived_CD184+_endoderm_cultured_cells	H3K27ac	/epigenomes/teamdata/test_data/hESC-derived_CD184+_endoderm_cultured_cells/H3K27ac/GSM1112830_BI.hESC_Derived_CD184+_Endoderm_Cultured_Cells.H3K27ac.DNA_Lib_3189.wig.gz.bw	sum
HUES64_cell_line	H3K27ac	/epigenomes/teamdata/test_data/HUES64_cell_line/H3K27ac/GSM1112775_BI.HUES64.H3K27ac.DNA_Lib_834.wig.gz.bw	sum
pancreatic_islets	H3K27ac	/epigenomes/teamdata/test_data/pancreatic_islets/H3K27ac/GSM1127061_UCSF-UBC.Pancreatic_Islets.H3K27ac.ZGI_213.wig.gz.bw	sum
skeletal_muscle	H3K27ac	/epigenomes/teamdata/test_data/skeletal_muscle/H3K27ac/GSM916064_BI.Skeletal_Muscle.H3K27ac.62.wig.gz.bw	sum
CD34_mobilized_primary_cells	RNA	/epigenomes/teamdata/test_data/CD34_mobilized_primary_cells/RNA/GSM909310_UW.Mobilized_CD34_Primary_Cells.RNA.RO_01549.lib-RNA.RS18745.wig.gz.bw	mean
hESC-derived_CD184+_endoderm_cultured_cells	RNA	/epigenomes/teamdata/test_data/hESC-derived_CD184+_endoderm_cultured_cells/RNA/GSM1112845_BI.hESC_Derived_CD184+_Endoderm_Cultured_Cells.RNA.cDNA_Lib_12.wig.gz.bw	mean
HUES64_cell_line	RNA	/epigenomes/teamdata/test_data/HUES64_cell_line/RNA/GSM1112834_BI.HUES64.RNA.cDNA_Lib_17.wig.gz.bw	mean
pancreatic_islets	RNA	/epigenomes/teamdata/test_data/pancreatic_islets/RNA/GSM1127105_UCSF-UBC.Pancreatic_Islets.RNA.ZD4_273.wig.gz.bw	mean
skeletal_muscle	RNA	/epigenomes/teamdata/test_data/skeletal_muscle/RNA/GSM1101686_UW.Fetal_Muscle_Upper_Limb_Skeletal.RNA.H-23887.lib-RNA.RS18159.wig.gz.bw	mean
CD34_mobilized_primary_cells	RRBS	/epigenomes/teamdata/test_data/CD34_mobilized_primary_cells/RRBS/GSM706839_BI.Mobilized_CD34_Primary_Cells.RRBS.RO_01517.wig.gz.bw	mean
hESC-derived_CD184+_endoderm_cultured_cells	RRBS	/epigenomes/teamdata/test_data/hESC-derived_CD184+_endoderm_cultured_cells/RRBS/GSM772723_BI.hESC_Derived_CD184+_Endoderm_Cultured_Cells.RRBS.RRBS1202_and_RRBS1206.wig.gz.bw	mean
HUES64_cell_line	RRBS	/epigenomes/teamdata/test_data/HUES64_cell_line/RRBS/GSM621594_BI.HUES64.RRBS.RRBS520-521.wig.gz.bw	mean
pancreatic_islets	RRBS	/epigenomes/teamdata/test_data/pancreatic_islets/RRBS/GSM621567_BI.Pancreatic_Islets.RRBS.pancreatic_islets_normal_0_0_00.wig.gz.bw	mean
skeletal_muscle	RRBS	/epigenomes/teamdata/test_data/skeletal_muscle/RRBS/GSM621726_BI.Skeletal_Muscle.RRBS.62.wig.gz.bw	mean
